wave,QE
100.000,0.0
200.000,0.0
300.000,0.0
320.178,0.0443622
329.816,0.0516893
339.916,0.0857573
350.475,0.142109
360.181,0.223729
370.359,0.342491
380.551,0.476112
390.724,0.588931
400.432,0.672037
410.993,0.73136
420.687,0.799607
430.801,0.848534
440.464,0.884092
450.989,0.903297
460.639,0.923997
470.702,0.917947
480.784,0.932698
490.847,0.926648
500.901,0.910197
510.963,0.902661
521.01,0.87878
530.623,0.859361
540.672,0.838453
550.716,0.8116
561.205,0.792172
570.811,0.765325
581.295,0.739953
590.901,0.713106
600.941,0.681796
610.547,0.654948
620.59,0.62661
630.645,0.611644
640.679,0.574391
650.729,0.553482
660.773,0.526629
670.811,0.493834
679.99,0.477391
690.466,0.444591
700.51,0.417739
710.993,0.392367
720.597,0.362548
730.648,0.343125
740.689,0.313301
750.744,0.298335
760.795,0.278912
770.844,0.258003
780.464,0.246014
790.517,0.228077
800.569,0.21014
810.629,0.201118
820.69,0.192095
830.732,0.163757
840.811,0.174051
850.859,0.151657
860.471,0.130752
870.539,0.130645
880.6,0.121623
890.645,0.0962568
900.71,0.0916924
910.779,0.0915855
920.829,0.0721624
940.519,0.0615523
961.078,0.0435036
980.331,0.0328981
1000.46,0.0222833
