wavelength, depth
0.751, 19.636
0.770, 19.621
0.790, 19.610
0.810, 19.602
0.830, 19.589
0.851, 19.582
0.869, 19.569
0.890, 19.563
0.912, 19.555
0.934, 19.548
0.956, 19.542
0.979, 19.540
1.004, 19.540
1.028, 19.537
1.052, 19.532
1.078, 19.530
1.148, 19.547
1.177, 19.546
1.206, 19.544
1.237, 19.544
1.268, 19.549
1.300, 19.551
1.333, 19.553
1.366, 19.553
1.401, 19.556
1.436, 19.556
1.473, 19.563
1.510, 19.581
1.548, 19.579
1.584, 19.575
1.627, 19.594
1.668, 19.565
1.710, 19.555
1.753, 19.554
1.797, 19.574
1.843, 19.577
1.889, 19.588
1.937, 19.600
1.986, 19.609
2.036, 19.610
2.087, 19.623
2.140, 19.633
2.194, 19.638
2.249, 19.645
2.306, 19.655
2.364, 19.663
2.418, 19.672
2.497, 19.747
2.567, 19.752
2.638, 19.765
2.711, 19.778
2.794, 19.784
2.871, 19.790
2.951, 19.793
3.041, 19.803
3.125, 19.807
3.212, 19.802
3.309, 19.802
3.401, 19.789
3.496, 19.776
3.593, 19.745
3.702, 19.704
3.805, 19.647
3.842, 18.776
3.880, 18.770
3.919, 18.750
3.958, 18.725
3.998, 18.699
4.038, 18.673
4.078, 18.648
4.119, 18.615
4.160, 18.590
4.202, 18.558
4.244, 18.526
4.286, 18.493
4.329, 18.461
4.373, 18.423
4.416, 18.391
4.464, 18.250
4.501, 18.222
4.550, 18.179
4.595, 18.134
4.641, 18.102
4.688, 18.057
4.735, 18.025
4.782, 17.980
4.830, 17.948
4.878, 17.903
4.927, 17.865
4.976, 17.833
5.026, 17.807
